Tweet ID,Fecha de Publicación,Tweet Texto,Comentario,Comentario Limpio,Tweet Texto Limpio,Tema Principal,Tema Secundario,Rating_comentario,Rating_post,Categoria_comentario,Categoria_post
1810294804602896601,2024-07-08,"Señores dueños de vehículos de carga pesada: Ni Martínez Martelo ni el Corredor de Carga son parqueaderos. El 
@DATT_Cgena
 estará vigilante.
Prohíben circulación de vehículos de carga pesada en Martínez Martelo 
-
@dumek_turbay
 Mundo Noticias",HOY se abren las puertas de la monumental,hoy abren puertas monumental,Señores dueños vehículos carga pesada Ni Martínez Martelo ni Corredor Carga parqueaderos  DATTCgena   estará vigilante  Prohíben circulación vehículos carga pesada Martínez Martelo   dumekturbay   Mundo Noticias,Movilidad,Vehículos de carga,5,1,Muy positivo,Muy negativo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Señor Alcalde, el sábado juega la selección Colombia femenina un partido amistoso en el estadio Jaime morón, sabe usted cómo será el tema de boletería para ese juego? Gracias.",señor alcalde sábado juega selección colombia femenina partido amistoso estadio jaime morón sabe usted cómo será tema boletería ese juego gracias,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,5,5,Muy positivo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Invasores ilegales hasta la orilla en Playa blanca Baru Cartagena Se anuncian en booking sin ningún pudor y encima presumen de Primera línea de mar!!Vaya vivarachos desvergonzados. Y las autoridades?Puede haber mayor dejación de funciones?,invasores ilegales hasta orilla playa blanca baru cartagena anuncian booking sin ningún pudor encima presumen primera línea marvaya vivarachos desvergonzados autoridadespuede haber mayor dejación funciones,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,1,5,Muy negativo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","DIMAR  ALCALDÍA,MEK &MAR",dimar   alcaldía mek mar,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,5,5,Muy positivo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Mi alcalde necesito de todo su apoyo para subir la bandera de Cartagena a la cordillera de los andes, soy deportista y espero este 26 de julio representarlos en bolivia",mi alcalde necesito todo su apoyo subir bandera cartagena a cordillera andes soy deportista espero  julio representarlos bolivia,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,5,5,Muy positivo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Señor alcalde como hacemos los peatones en boca grande ya que los restaurantes y vehículos son dueños de los andenes y los peatones nos toca caminar por la calle y los carros pasan muy cerca y rápido y se va a presentar un accidente muy pronto y lamentable,señor alcalde como hacemos peatones boca grande ya que restaurantes vehículos dueños andenes peatones nos toca caminar calle carros pasan muy cerca rápido va a presentar accidente muy pronto lamentable,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,1,5,Muy negativo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Gracias, mi alcalde, desde ya prendemos el entusiasmo.",gracias mi alcalde desde ya prendemos entusiasmo,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,5,5,Muy positivo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Sr alcalde, en consecuencia a esta propuesta es conveniente sugerir que las instituciones educativas con jornada pm den salida un poco más temprano",sr alcalde consecuencia a propuesta conveniente sugerir que instituciones educativas jornada pm den salida poco más temprano,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,3,5,Neutral,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Siiiii buena gestión mi alcalde,siiiii buena gestión mi alcalde,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,4,5,Positivo,Muy positivo
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Unida toda Cartagena por nuestra selección . Gracias mi alcalde !!!!,unida toda cartagena nuestra selección gracias mi alcalde,Miércoles  julio     pm nuestra  FCFSeleccionCol   Uruguay definen su cupo a final  CopaAmerica,Fútbol,Pantallas gigantes,5,5,Muy positivo,Muy positivo
