Tweet ID,Fecha de Publicación,Tweet Texto,Comentario
1810294804602896601,2024-07-08,"Señores dueños de vehículos de carga pesada: Ni Martínez Martelo ni el Corredor de Carga son parqueaderos. El 
@DATT_Cgena
 estará vigilante.
Prohíben circulación de vehículos de carga pesada en Martínez Martelo 
-
@dumek_turbay
 Mundo Noticias 
https://shar.es/ag7Iap
https://
hasta despacho tienen en la vía, señores 
 a trabajar al ritmo del equipo de comunicaciones del alcalde
Alcalde le agradecería regular el espacio PÚBLICO que hay junto a la muralla frente a los parqueaderos públicos parque de la marina, algunos ciudadanos (según ellos mismos) apoyados por la policía de tránsito tienen tarifa de parqueo y si uno no paga, se tornan agresivos. Gracias
Joda q vaina todos los días en plena horas pico 6 pm parqueados en la “Y” de contecar
Comparando y desmovilización del vehículo al que infrinja la ley!!! Se acabó el perrateo. Llego 
 nuestro Alcalde. Cartagena vuelve a brillar. !!!!!
Aquí en el Nuevo Bosque, también se sube el camión de la CocaCola, el de la cerveza, un bus, un camión de un particular .. hacen lo que les da la gana en una zona peatonal
Y si es de Corozo mucho mejor 
 Colombia finalizó su participación en la natación carreras de 
#Paris2024",Stefanía Gómez finalizó en el puesto 29 en los 100 m. pecho.
1810294804602896601,2024-07-08,"Señores dueños de vehículos de carga pesada: Ni Martínez Martelo ni el Corredor de Carga son parqueaderos. El 
@DATT_Cgena
 estará vigilante.
Prohíben circulación de vehículos de carga pesada en Martínez Martelo 
-
@dumek_turbay
 Mundo Noticias 
https://shar.es/ag7Iap
https://
hasta despacho tienen en la vía, señores 
 a trabajar al ritmo del equipo de comunicaciones del alcalde
Alcalde le agradecería regular el espacio PÚBLICO que hay junto a la muralla frente a los parqueaderos públicos parque de la marina, algunos ciudadanos (según ellos mismos) apoyados por la policía de tránsito tienen tarifa de parqueo y si uno no paga, se tornan agresivos. Gracias
Joda q vaina todos los días en plena horas pico 6 pm parqueados en la “Y” de contecar
Comparando y desmovilización del vehículo al que infrinja la ley!!! Se acabó el perrateo. Llego 
 nuestro Alcalde. Cartagena vuelve a brillar. !!!!!
Aquí en el Nuevo Bosque, también se sube el camión de la CocaCola, el de la cerveza, un bus, un camión de un particular .. hacen lo que les da la gana en una zona peatonal
Y si es de Corozo mucho mejor 
 Colombia finalizó su participación en la natación carreras de 
#Paris2024",Anthony Rincón alcanzó el puesto 37 de los 100 m. espalda.
1810294804602896601,2024-07-08,"Señores dueños de vehículos de carga pesada: Ni Martínez Martelo ni el Corredor de Carga son parqueaderos. El 
@DATT_Cgena
 estará vigilante.
Prohíben circulación de vehículos de carga pesada en Martínez Martelo 
-
@dumek_turbay
 Mundo Noticias 
https://shar.es/ag7Iap
https://
hasta despacho tienen en la vía, señores 
 a trabajar al ritmo del equipo de comunicaciones del alcalde
Alcalde le agradecería regular el espacio PÚBLICO que hay junto a la muralla frente a los parqueaderos públicos parque de la marina, algunos ciudadanos (según ellos mismos) apoyados por la policía de tránsito tienen tarifa de parqueo y si uno no paga, se tornan agresivos. Gracias
Joda q vaina todos los días en plena horas pico 6 pm parqueados en la “Y” de contecar
Comparando y desmovilización del vehículo al que infrinja la ley!!! Se acabó el perrateo. Llego 
 nuestro Alcalde. Cartagena vuelve a brillar. !!!!!
Aquí en el Nuevo Bosque, también se sube el camión de la CocaCola, el de la cerveza, un bus, un camión de un particular .. hacen lo que les da la gana en una zona peatonal
Y si es de Corozo mucho mejor 
 Colombia finalizó su participación en la natación carreras de 
#Paris2024",HOY se abren las puertas de la monumental
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Desde
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Señor Alcalde, el sábado juega la selección Colombia femenina un partido amistoso en el estadio Jaime morón, sabe usted cómo será el tema de boletería para ese juego? Gracias."
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Invasores ilegales hasta la orilla en Playa blanca Baru Cartagena Se anuncian en booking sin ningún pudor y encima presumen de Primera línea de mar!!Vaya vivarachos desvergonzados. Y las autoridades?Puede haber mayor dejación de funciones?
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","DIMAR  ALCALDÍA,MEK &MAR"
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Mi alcalde necesito de todo su apoyo para subir la bandera de Cartagena a la cordillera de los andes, soy deportista y espero este 26 de julio representarlos en bolivia"
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Señor alcalde como hacemos los peatones en boca grande ya que los restaurantes y vehículos son dueños de los andenes y los peatones nos toca caminar por la calle y los carros pasan muy cerca y rápido y se va a presentar un accidente muy pronto y lamentable
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Gracias, mi alcalde, desde ya prendemos el entusiasmo."
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ","Sr alcalde, en consecuencia a esta propuesta es conveniente sugerir que las instituciones educativas con jornada pm den salida un poco más temprano"
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Siiiii buena gestión mi alcalde
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Unida toda Cartagena por nuestra selección . Gracias mi alcalde !!!!
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Excelente
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Me Voy para el corralito .
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Alcalde se pasa
1810326741518315926,2024-07-08,"Miércoles 10 de julio 
7:00
 p.m., nuestra 
@FCFSeleccionCol
 y Uruguay definen su cupo a la final de la 
#CopaAmerica2024
. ",Hostigamiento por motos desde el puente del Dique.  Acosados por nativos en la carretera. playa =vertedero. Cambuches hasta orilla construidos con mangle y basura. Mar invadido x lanchas y motos acuáticas Playa Blanca Baru Cartagena . Parque Nacional
